iter	CrossEntropy
160	0.4543793202
161	0.4543793135
162	0.4543793129
163	0.4543793123
164	0.4543793118
165	0.454013441
166	0.4528886403
167	0.4515083978
168	0.4494853932
169	0.449124837
170	0.4491248322
171	0.4491248186
172	0.4491248115
173	0.4491248099
174	0.4491248096
175	0.4490724204
176	0.4490724135
177	0.4489054191
178	0.4486723295
179	0.4477700436
180	0.4463795236
181	0.4457768944
182	0.4457768349
183	0.444382319
184	0.4442281993
185	0.4438853096
186	0.4437407413
187	0.443614409
188	0.4433982702
189	0.4433982626
190	0.443285697
191	0.4414725312
192	0.4412861751
193	0.4412856808
194	0.4403313917
195	0.438916035
196	0.4388263937
197	0.4374715839
198	0.4374715616
199	0.4374156713
200	0.4374156378
201	0.4373097712
202	0.4370034983
203	0.4367959092
204	0.4367087793
205	0.4367087428
206	0.4359521111
207	0.4359521084
208	0.4353537845
209	0.4353537692
210	0.4349987507
211	0.4346135124
212	0.4344207476
213	0.4333934867
214	0.4333934862
215	0.4330559119
216	0.4330245179
217	0.4321251316
218	0.4321250981
219	0.4321250887
220	0.4320632042
221	0.4320251668
222	0.4309639712
223	0.4297715193
224	0.4297715179
225	0.4293124814
226	0.42931247
227	0.4290944022
228	0.4290943932
229	0.4284705149
230	0.4284371074
231	0.4279383618
232	0.4278918912
233	0.4275028628
234	0.4275028612
235	0.4273616356
236	0.4273616323
237	0.4273125689
238	0.4272448002
239	0.4269470415
240	0.4268166819
241	0.426815622
242	0.4267061619
243	0.4267051691
244	0.4267042814
245	0.4267042752
246	0.4266184317
247	0.4266184293
248	0.426457042
249	0.4258728348
250	0.4253570008
251	0.4253569984
252	0.4252509614
253	0.4252133985
254	0.4250968269
255	0.4250968154
256	0.4250968111
257	0.4250968008
258	0.4249177531
259	0.4248880706
260	0.4248880675
261	0.4248880669
262	0.424776569
263	0.4240209627
264	0.4240209512
265	0.4239327676
266	0.4239327597
267	0.4238206337
268	0.4237489156
269	0.422623997
270	0.4218972244
271	0.421486209
272	0.4213511631
273	0.4212712977
274	0.4200251135
275	0.420025112
276	0.4193846561
277	0.4191336158
278	0.4191335791
279	0.4187341847
280	0.4187341672
281	0.4186848651
282	0.4181046132
283	0.4180294624
284	0.4180294527
285	0.4180294414
286	0.4177047901
287	0.4177047891
288	0.4176023022
289	0.4176022781
290	0.4173644262
291	0.417364399
292	0.416906777
293	0.4168798173
294	0.4167287995
295	0.4166730936
296	0.4164777693
297	0.4164777362
298	0.4163102849
299	0.4159793418
300	0.4159019688
301	0.4159019566
302	0.4158140726
303	0.4158140698
304	0.4156070954
305	0.4156070941
306	0.4153555218
307	0.4153555098
308	0.4153182948
309	0.4153182856
310	0.415018248
311	0.4149991364
312	0.4148618093
313	0.4147492379
314	0.414749237
315	0.4146859701
316	0.4146859683
317	0.4144846688
318	0.4144846627
319	0.4136471344
320	0.4136471343
321	0.4136234288
322	0.4128929139
323	0.4121211923
324	0.4113937497
325	0.4113083005
326	0.4111747405
327	0.4111735795
328	0.4111735563
329	0.4107747109
330	0.410682288
331	0.410599425
332	0.410021812
333	0.4093166731
334	0.4084907412
335	0.4084907374
336	0.4081509049
337	0.4076771153
338	0.4075994128
339	0.4070666188
340	0.4070666182
341	0.4069967659
342	0.4068274214
343	0.4068274124
344	0.4067213398
345	0.4066433539
346	0.4064807674
347	0.4053894355
348	0.4048161042
349	0.4047263869
350	0.4047263839
351	0.4040898339
352	0.4037423427
353	0.4037423391
354	0.4029807998
355	0.4028976826
356	0.4027448252
357	0.4027448204
358	0.4026535817
359	0.4025343831
360	0.402534383
361	0.4024932557
362	0.4019682049
363	0.4019681941
364	0.4019681882
365	0.4013461526
366	0.4012431558
367	0.4012179863
368	0.4011413504
369	0.4009382734
370	0.4007610298
371	0.4007610171
372	0.4006860628
373	0.4006757084
374	0.4006076134
375	0.4005897992
376	0.4005601542
377	0.400284055
378	0.3997545735
379	0.3997545614
380	0.3997545586
381	0.399379956
382	0.3992866564
383	0.3992866547
384	0.3992866399
385	0.3992866397
386	0.3992416056
387	0.3991769947
388	0.3991769918
389	0.3984111635
390	0.3981729402
391	0.3981729318
392	0.3981389386
393	0.3980839285
394	0.3980832205
395	0.3973602328
396	0.3973372552
397	0.3973372547
398	0.3973012597
399	0.3969657291
400	0.3968694861
401	0.396837647
402	0.3967787395
403	0.3967787275
404	0.3964173334
405	0.3963077179
406	0.3963077167
407	0.3961894064
408	0.3961894061
409	0.3961629238
410	0.3959271319
411	0.3959271198
412	0.3959078327
413	0.3958096794
414	0.395720399
415	0.3957203987
416	0.3957203984
417	0.3956860979
418	0.3955627155
419	0.3953570854
420	0.3953299317
421	0.3946740082
422	0.3946507144
423	0.3945671634
424	0.3945465232
425	0.3945167241
426	0.3937563535
427	0.3936885854
428	0.3936885826
429	0.3936885798
430	0.3936274484
431	0.3934788028
432	0.3934787985
433	0.393344287
434	0.3933394938
435	0.3933335
436	0.3933194783
437	0.3932930752
438	0.3923029552
439	0.3922728911
440	0.3922728888
441	0.3922728886
442	0.3922728885
443	0.3916190643
444	0.3915992184
445	0.3913011162
446	0.3912150955
447	0.3911650325
448	0.3910670961
449	0.3910670908
450	0.3910670873
451	0.3901196947
452	0.3900482341
453	0.3895468756
454	0.3893603725
455	0.3893603714
456	0.3893137753
457	0.3893137736
458	0.3893137734
459	0.3891559604
460	0.3890916421
461	0.3890541605
462	0.3885481688
463	0.388548168
464	0.3885472504
465	0.388511899
466	0.3884796361
467	0.3884796351
468	0.3884796351
469	0.3884180073
470	0.3884180057
471	0.3884180057
472	0.3884072089
473	0.3883186283
474	0.3879483873
475	0.3879483864
476	0.3878931432
477	0.3875336907
478	0.3875092097
479	0.3870294803
480	0.3870197532
481	0.3869956827
482	0.3869429212
483	0.386942921
484	0.3863893021
485	0.3861283417
486	0.3860884117
487	0.3860401697
488	0.3860401685
489	0.3860401672
490	0.3859128019
491	0.3856058876
492	0.3855909577
493	0.3854697282
494	0.3854163103
495	0.3853757674
496	0.3853143377
497	0.3852496823
498	0.3852496808
499	0.3852458569
500	0.385159903
501	0.3849390669
502	0.3849298146
503	0.3849146694
504	0.3848664276
505	0.3848457133
506	0.384748746
507	0.384748741
508	0.3847487386
509	0.3844223771
510	0.3840728986
511	0.3838353105
512	0.3838271558
513	0.3838271549
514	0.3838004248
515	0.3838004235
516	0.3837964402
517	0.3837809747
518	0.3837570621
519	0.3837570593
520	0.3837144113
521	0.3837139022
522	0.3836497834
523	0.383649783
524	0.3831339362
525	0.3831339356
526	0.3828926684
527	0.3825880071
528	0.3825544412
529	0.3821911782
530	0.3821481905
531	0.381604108
532	0.3815882745
533	0.3812896864
534	0.380722366
535	0.380722366
536	0.380722366
537	0.3807080453
538	0.3807080453
539	0.3806402858
540	0.3806402858
541	0.3806402858
542	0.3806392847
543	0.3806383361
544	0.3806383361
545	0.3804980787
546	0.3804849577
547	0.3804380369
548	0.3804160801
549	0.3803091277
550	0.3801886767
551	0.3801769134
552	0.3801769133
553	0.3801761812
554	0.3799922467
555	0.3799582611
556	0.3798324507
557	0.3795680288
558	0.3789318304
559	0.3788365058
560	0.3788156676
561	0.3784707467
562	0.3784701534
563	0.3784629913
564	0.3784629911
565	0.3784629909
566	0.3781402401
567	0.3781319827
568	0.3780366601
569	0.378021348
570	0.378021348
571	0.3777594318
572	0.3777488781
573	0.3777488781
574	0.377674217
575	0.377599636
576	0.3768403837
577	0.376840383
578	0.3768403823
579	0.3768403817
580	0.3768403811
581	0.3763036638
582	0.3763036628
583	0.3762877295
584	0.3762877285
585	0.3762877285
586	0.3762667804
587	0.3762324833
588	0.3761390342
589	0.3757270003
590	0.3756695102
591	0.375023132
592	0.3750231303
593	0.3750074918
594	0.3749738411
595	0.3749738401
596	0.37488427
597	0.3748842685
598	0.3745532413
599	0.374549569
600	0.3743378592
601	0.3742094283
602	0.3741683681
603	0.3735335706
604	0.3734074501
605	0.3733310447
606	0.3732936863
607	0.3732746658
608	0.3732581079
609	0.3732363091
610	0.3731050613
611	0.3730662656
612	0.3726713218
613	0.3726713218
614	0.3726713218
615	0.3726713218
616	0.3726713218
617	0.3720255362
618	0.3720250583
619	0.3720162269
620	0.3719832685
621	0.3719832684
622	0.371961118
623	0.3719611177
624	0.3719128684
625	0.3718876036
626	0.3716624258
627	0.3715897988
628	0.3715897987
629	0.3715897987
630	0.3715255859
631	0.3714830818
632	0.3714186822
633	0.3714057678
634	0.3713577421
635	0.3713577416
636	0.3713281723
637	0.3713281719
638	0.3713281715
639	0.3712895666
640	0.3712794584
641	0.3711589246
642	0.371158924
643	0.371140205
644	0.3709771501
645	0.3709509342
646	0.3708984977
647	0.3708984976
648	0.370898497
649	0.3708979069
650	0.370892928
651	0.3708907632
652	0.3706663249
653	0.3706663248
654	0.3706636895
655	0.3705778199
656	0.3703723777
657	0.3703662172
658	0.370357921
659	0.3700006443
660	0.3699593524
661	0.3699593512
662	0.3698259687
663	0.3693410279
664	0.3692838795
665	0.3692672078
666	0.3689707968
667	0.3689596096
668	0.3689596094
669	0.3687806173
670	0.3687806167
671	0.3682655198
672	0.3682655188
673	0.3682368951
674	0.3682368951
675	0.3682368951
676	0.3682172374
677	0.3681875256
678	0.3681858957
679	0.3681858943
680	0.3681805229
681	0.3681805226
682	0.368108775
683	0.3680869503
684	0.3680869484
685	0.3680706085
686	0.3680706074
687	0.3680588749
688	0.3680519745
689	0.3680519745
690	0.3680179871
691	0.3680091693
692	0.368009169
693	0.3678143634
694	0.3674006618
695	0.3673747909
696	0.3673747904
697	0.3673719359
698	0.3673719355
699	0.3669725264
700	0.3669725258
701	0.366943224
702	0.3666948332
703	0.3665363677
704	0.3662915052
705	0.366291505
706	0.3662614326
707	0.3662614323
708	0.3662551355
709	0.3659367514
710	0.3659185006
711	0.3659185003
712	0.3657957915
713	0.3657355191
714	0.3657355188
715	0.3657355186
716	0.365735068
717	0.3657153397
718	0.3657148783
719	0.3656355354
720	0.3655064796
721	0.3654630702
722	0.3654066832
723	0.3654066826
724	0.3653642649
725	0.3653642646
726	0.365018584
727	0.3649842095
728	0.3649842082
729	0.3646591067
730	0.364520304
731	0.3645119579
732	0.3645119572
733	0.3644029599
734	0.3642693663
735	0.364250349
736	0.3642503487
737	0.3640874523
738	0.3640874464
739	0.3640874461
740	0.3636791208
741	0.3636719793
742	0.363575002
743	0.3633556754
744	0.3632557793
745	0.3632176553
746	0.3631984457
747	0.3631555622
748	0.3631555621
749	0.363155562
750	0.3627361771
751	0.3627320432
752	0.3627156617
753	0.3626850799
754	0.3623307814
755	0.3623307159
756	0.3623307159
757	0.3622942463
758	0.3622549397
759	0.36224034
760	0.3622203388
761	0.3621596699
762	0.3621024586
763	0.3620858851
764	0.3620788825
765	0.3619905877
766	0.3619905877
767	0.3619905877
768	0.3619905877
769	0.3619905877
770	0.3618884762
771	0.3618884761
772	0.3618458774
773	0.3618396373
774	0.3618364731
775	0.3614721075
776	0.3614721075
777	0.3614721074
778	0.361450628
779	0.361450628
780	0.361450628
781	0.3613585027
782	0.3613585027
783	0.3613473294
784	0.3613333019
785	0.3613211023
786	0.3612385794
787	0.3612385794
788	0.3611623875
789	0.3611553987
790	0.3611043938
791	0.3608111974
792	0.3607258365
793	0.360695986
794	0.3606708616
795	0.3606708616
796	0.3606559518
797	0.3606402454
798	0.3606402453
799	0.3606142572
800	0.3604474358
801	0.3598479115
802	0.3598441122
803	0.3597967366
804	0.3597326195
805	0.3596996042
806	0.3596996038
807	0.3596821396
808	0.3593701174
809	0.3593630383
810	0.3593258542
811	0.3592892407
812	0.3591430648
813	0.3590571425
814	0.3588966419
815	0.3588946823
816	0.3586317325
817	0.3586317318
818	0.3586289245
819	0.3584399006
820	0.3584399002
821	0.3584398987
822	0.3581441329
823	0.3581270639
824	0.3581055728
825	0.3576535459
826	0.3573011738
827	0.3572647861
828	0.357264785
829	0.3572465734
830	0.357066248
831	0.3570620282
832	0.3568131539
833	0.3568055568
834	0.3566902914
835	0.3566678662
836	0.3566121063
837	0.3566121051
838	0.3566121041
839	0.3566047586
840	0.3562908869
841	0.3562845655
842	0.3562226849
843	0.3562226837
844	0.3561860574
845	0.3561318
846	0.3560956503
847	0.3560956496
848	0.3560833137
849	0.3560833131
850	0.3560351251
851	0.3560351246
852	0.356035124
853	0.355875233
854	0.355856413
855	0.3558564129
856	0.3558404411
857	0.3558404409
858	0.3556443334
859	0.3556360348
860	0.3554720092
861	0.3553091094
862	0.3553091094
863	0.355306694
864	0.3553066939
865	0.355302108
866	0.3551624378
867	0.3551387441
868	0.3550186505
869	0.3549795524
870	0.354936252
871	0.354936252
872	0.3548925658
873	0.3544481742
874	0.3544481741
875	0.3540955824
876	0.3540644146
877	0.3540644146
878	0.3540625755
879	0.3536930463
880	0.3536915095
881	0.3536915086
882	0.3536914844
883	0.3536486547
884	0.3536385247
885	0.35353627
886	0.3535277245
887	0.3535269746
888	0.3534072581
889	0.3531947894
890	0.353194789
891	0.3531947882
892	0.3531947882
893	0.3531672943
894	0.353167294
895	0.3531650849
896	0.3531371157
897	0.3530802536
898	0.3530802531
899	0.3530642109
900	0.3529922073
901	0.3527150488
902	0.3527150481
903	0.3527068705
904	0.352701662
905	0.3526967709
906	0.3526863594
907	0.3526750333
908	0.3526288892
909	0.3526238371
910	0.3526203943
911	0.3526133695
912	0.3525057924
913	0.3525057923
914	0.352505792
915	0.3524733756
916	0.3524733756
917	0.3524732777
918	0.3524657557
919	0.3524386387
920	0.3524386385
921	0.3524358637
922	0.3524358635
923	0.3524281773
924	0.3524281772
925	0.3524119607
926	0.3524119606
927	0.3524090459
928	0.3523565033
929	0.3523526889
930	0.3522851824
931	0.3522741811
932	0.3522738747
933	0.3522738747
934	0.3522738747
935	0.3520162991
936	0.3520162991
937	0.352016299
938	0.351885556
939	0.3518596855
940	0.3518596855
941	0.3518208978
942	0.3517402068
943	0.3517122573
944	0.3517122573
945	0.3513626413
946	0.3513626413
947	0.351267716
948	0.3512414842
949	0.3512414842
950	0.3512412181
951	0.3512412181
952	0.3512260208
953	0.3512203888
954	0.3512203888
955	0.3511594012
956	0.3510912917
957	0.3510693458
958	0.3510523418
959	0.3510476439
960	0.3510476439
961	0.3510433386
962	0.3510433386
963	0.3510433386
964	0.3510418798
965	0.351010215
966	0.3510077834
967	0.3510001389
968	0.3509828503
969	0.3507230172
970	0.350706408
971	0.3507040965
972	0.3507040965
973	0.3506869751
974	0.3506826395
975	0.3506786831
976	0.3506681686
977	0.3506633055
978	0.3506370109
979	0.3506362179
980	0.3506362179
981	0.3503862449
982	0.3503701294
983	0.3503701294
984	0.3503701294
985	0.3502171797
986	0.3502171796
987	0.3502171795
988	0.3502171512
989	0.3502168872
990	0.350212256
991	0.3502122559
992	0.350205059
993	0.3500499183
994	0.3500049148
995	0.3500031059
996	0.3500031057
997	0.3499841318
998	0.3499841316
999	0.3496551504
