iter	Passed	Remaining
403	11997	17699
404	12046	17697
405	12075	17667
406	12086	17609
407	12103	17562
408	12115	17506
409	12137	17466
410	12160	17427
411	12170	17369
412	12191	17328
413	12210	17283
414	12233	17244
415	12244	17189
416	12256	17135
417	12272	17087
418	12288	17040
419	12313	17004
420	12330	16957
421	12423	17015
422	12434	16962
423	12448	16910
424	12460	16858
425	12473	16807
426	12618	16933
427	12637	16889
428	12648	16834
429	12659	16780
430	12681	16742
431	12713	16715
432	12723	16661
433	12749	16627
434	12762	16576
435	12776	16527
436	12790	16478
437	12801	16426
438	13009	16625
439	13026	16578
440	13036	16525
441	13050	16475
442	13062	16424
443	13167	16489
444	13178	16436
445	13199	16396
446	13220	16355
447	13236	16309
448	13276	16292
449	13286	16239
450	13297	16186
451	13521	16393
452	13547	16358
453	13644	16409
454	13666	16369
455	13677	16317
456	13696	16273
457	13706	16220
458	13717	16167
459	13754	16146
460	13775	16106
461	13794	16063
462	13951	16181
463	13961	16128
464	13971	16075
465	13984	16025
466	14000	15979
467	14010	15926
468	14020	15874
469	14040	15833
470	14051	15781
471	14061	15730
472	14074	15681
473	14099	15646
474	14144	15633
475	14155	15583
476	14172	15539
477	14221	15531
478	14241	15490
479	14437	15640
480	14452	15593
481	14463	15544
482	14484	15504
483	14494	15452
484	14651	15558
485	14757	15607
486	14776	15564
487	14796	15523
488	14805	15471
489	14815	15420
490	14845	15389
491	15020	15509
492	15033	15460
493	15055	15421
494	15070	15375
495	15092	15336
496	15110	15293
497	15124	15246
498	15134	15195
499	15148	15148
500	15177	15117
501	15292	15171
502	15308	15126
503	15322	15078
504	15340	15036
505	15360	14995
506	15382	14957
507	15393	14908
508	15404	14859
509	15467	14861
510	15544	14875
511	15572	14842
512	15584	14794
513	15594	14745
514	15615	14705
515	15627	14658
516	15641	14613
517	15657	14569
518	15673	14525
519	15683	14477
520	15696	14431
521	15710	14386
522	15728	14344
523	15738	14296
524	15869	14358
525	15880	14310
526	15957	14322
527	16000	14303
528	16016	14260
529	16073	14254
530	16106	14225
531	16172	14227
532	16197	14192
533	16368	14284
534	16592	14421
535	16602	14372
536	16613	14324
537	16624	14276
538	16635	14228
539	16652	14185
540	16662	14136
541	16675	14090
542	16686	14044
543	16697	13996
544	16705	13947
545	16736	13916
546	16746	13868
547	16760	13824
548	16779	13784
549	16803	13748
550	16825	13710
551	16836	13664
552	16848	13618
553	16859	13572
554	16895	13546
555	16912	13505
556	16929	13464
557	16964	13437
558	17114	13501
559	17134	13462
560	17150	13420
561	17196	13402
562	17208	13356
563	17219	13311
564	17230	13266
565	17241	13220
566	17290	13203
567	17307	13163
568	17327	13124
569	17339	13080
570	17349	13035
571	17456	13061
572	17468	13017
573	17481	12973
574	17532	12958
575	17552	12920
576	17652	12940
577	17663	12896
578	17673	12850
579	17684	12806
580	17695	12761
581	17727	12732
582	17738	12687
583	17751	12644
584	17761	12600
585	17773	12556
586	17785	12513
587	17807	12477
588	17829	12441
589	17922	12454
590	17948	12421
591	18173	12524
592	18185	12481
593	18201	12440
594	18214	12398
595	18226	12354
596	18248	12318
597	18258	12273
598	18321	12265
599	18335	12223
600	18428	12234
601	18482	12219
602	18504	12183
603	18701	12261
604	18753	12243
605	18769	12203
606	18785	12162
607	18798	12119
608	18814	12079
609	18827	12037
610	18851	12002
611	18871	11963
612	18974	11978
613	18985	11935
614	18996	11892
615	19007	11848
616	19017	11805
617	19152	11838
618	19169	11799
619	19187	11760
620	19210	11724
621	19221	11681
622	19236	11640
623	19247	11597
624	19268	11560
625	19282	11520
626	19418	11551
627	19441	11516
628	19451	11473
629	19461	11429
630	19491	11398
631	19516	11364
632	19561	11341
633	19581	11304
634	19606	11269
635	19616	11227
636	19632	11187
637	19643	11145
638	19653	11103
639	19675	11067
640	19719	11044
641	19789	11035
642	19802	10994
643	19846	10971
644	19883	10943
645	19903	10907
646	19923	10870
647	19934	10828
648	19944	10786
649	19956	10745
650	19968	10704
651	19990	10669
652	20057	10658
653	20069	10617
654	20084	10578
655	20106	10543
656	20162	10526
657	20180	10489
658	20192	10448
659	20418	10518
660	20440	10483
661	20452	10442
662	20475	10407
663	20546	10396
664	20567	10360
665	20585	10323
666	20644	10306
667	20661	10268
668	20672	10228
669	20812	10250
670	20823	10210
671	21008	10254
672	21020	10213
673	21034	10174
674	21044	10132
675	21055	10091
676	21081	10057
677	21094	10018
678	21106	9978
679	21117	9937
680	21130	9898
681	21141	9857
682	21175	9828
683	21201	9794
684	21211	9754
685	21225	9715
686	21236	9675
687	21248	9635
688	21262	9597
689	21273	9557
690	21292	9521
691	21306	9483
692	21316	9443
693	21365	9420
694	21566	9464
695	21589	9429
696	21600	9390
697	21624	9356
698	21635	9316
699	21757	9324
700	21767	9284
701	21786	9248
702	21878	9243
703	22001	9250
704	22042	9223
705	22051	9182
706	22084	9152
707	22096	9113
708	22114	9076
709	22343	9126
710	22355	9086
711	22365	9046
712	22385	9010
713	22405	8974
714	22417	8935
715	22428	8896
716	22439	8857
717	22453	8818
718	22464	8779
719	22496	8748
720	22697	8783
721	22725	8750
722	22741	8713
723	22752	8673
724	22776	8639
725	22787	8600
726	22907	8601
727	22925	8565
728	22936	8526
729	23115	8549
730	23149	8518
731	23163	8480
732	23174	8441
733	23190	8404
734	23216	8370
735	23231	8332
736	23241	8293
737	23271	8261
738	23285	8223
